ANO;CANDIDATO;CANDIDATO2;1_TURNO;2_TURNO;STATUS
1989;Fernando Collor (PRN);COLLOR;20611011;35089998;ELEITO
1989;Luiz Inácio Lula da Silva (PT);LULA;11622673;31076364;SEGUNDO
1989;Leonel Brizola (PDT);BRIZOLA;11168228;;OUTROS
1989;Mário Covas (PSDB);COVAS;7790392;;OUTROS
1989;Paulo Maluf (PDS);MALUF;5986575;;OUTROS
1989;Guilherme Afif Domingos (PL);DOMINGOS;3272462;;OUTROS
1989;Ulysses Guimarães (PMDB);GUIMARÃES;3204932;;OUTROS
1989;Roberto Freire (PCB);FREIRE;769123;;OUTROS
1989;Aureliano Chaves (PFL);CHAVES;600838;;OUTROS
1989;Ronaldo Caiado (PSD);CAIADO;488846;;OUTROS
1989;Affonso Camargo Neto (PTB);NETO;379286;;OUTROS
1989;Enéas Carneiro (PRONA);ENEAS;360561;;OUTROS
1989;José Marronzinho (PSP);MARRONZINHO;238425;;OUTROS
1989;Paulo Gontijo (PP);GONTIJO;198719;;OUTROS
1989;Zamir José Teixeira (PCN);TEIXEIRA;187155;;OUTROS
1989;Lívia Maria Pio (PN);PIO;179922;;OUTROS
1989;Eudes Oliveira Mattar (PLP);MATTAR;162350;;OUTROS
1989;Fernando Gabeira (PV);GABEIRA;125842;;OUTROS
1989;Celso Brant (PMN);BRANT;109909;;OUTROS
1989;Antônio dos Santos Pedreira (PPB);PEDREIRA;86114;;OUTROS
1989;Manoel de Oliveira Horta (PDCdoB);HORTA;83286;;OUTROS
1989;Armando Corrêa (PMB);CORREA;4363;;OUTROS
1989;BRANCOS/NULOS;BRANCOS/NULOS;4649897;4094339;BRANCOS/NULOS
1989;ABSTENÇÕES;ABSTENÇÕES;9793809;11814017;ABSTENÇÕES
1994;Fernando Henrique Cardoso (PSDB);FHC;34364961;;ELEITO
1994;Luiz Inácio Lula da Silva (PT);LULA;17122127;;OUTROS
1994;Enéas Carneiro (PRONA);ENEAS;4671457;;OUTROS
1994;Orestes Quércia (PMDB);QUERCIA;2792121;;OUTROS
1994;Leonel Brizola (PDT);BRIZOLA;2015836;;OUTROS
1994;Esperidião Amin (PPR);ESPERDIAO;1739894;;OUTROS
1994;Carlos Antônio Gomes (PRN);CARLOS GOMES;387738;;OUTROS
1994;Hernani Fortuna (PSC);HERNANI;238197;;OUTROS
1994;BRANCOS/NULOS;BRANCOS/NULOS;14636133;;BRANCOS/NULOS
1994;ABSTENÇÕES;ABSTENÇÕES;16833946;;ABSTENÇÕES
1998;Fernando Henrique Cardoso (PSDB);FHC;35936540;;ELEITO
